Molecule Name	Molecule Structure	Molecule Formula	Precursor charge	Precursor m/z (native)	Precursor m/z (reduced)	Product Name	Product Formula	Product m/z (native)	Product m/z (reduced)	Product Charge
2_2_0_0_0_1_a	(J(N(H(H)(X))))	C33H54O24N2	1	881.3250480000002	883.3406980000001	J(1)N(1)	C16H26N2O10	425.177135066	427.192785066	1
2_2_0_0_0_1_a	(J(N(H(H)(X))))	C33H54O24N2	1	881.3250480000002	883.3406980000001	H(2)X(1)	C17H28N0O14	457.1557356082	457.1557356082	1
2_2_0_0_0_1_a	(J(N(H(H)(X))))	C33H54O24N2	1	881.3250480000002	883.3406980000001	J(1)N(1)H(1)	C22H36N2O15	587.2299584975	589.2456084975	1
2_2_0_0_0_1_a	(J(N(H(H)(X))))	C33H54O24N2	1	881.3250480000002	883.3406980000001	N(1)H(2)	C20H33N1O15	528.192849396	528.192849396	1
2_2_0_0_0_1_a	(J(N(H(H)(X))))	C33H54O24N2	1	881.3250480000002	883.3406980000001	N(1)H(1)X(1)	C19H31N1O14	498.1822847097	498.1822847097	1
2_2_0_0_0_1_a	(J(N(H(H)(X))))	C33H54O24N2	1	881.3250480000002	883.3406980000001	J(1)N(1)H(2)	C28H46N2O20	749.2827819290001	751.298431929	1
2_2_0_0_0_1_a	(J(N(H(H)(X))))	C33H54O24N2	1	881.3250480000002	883.3406980000001	J(1)N(1)H(1)X(1)	C27H44N2O19	719.2722172427	721.2878672427	1
2_2_0_0_0_1_a	(J(N(H(H)(X))))	C33H54O24N2	1	881.3250480000002	883.3406980000001	N(1)H(2)X(1)	C25H41N1O19	660.2351081412	660.2351081412	1
3_2_1_0_a	(J(F)(N(H(H(H)))))	C40H66O29N2	1	1057.393523	1059.409173	F(1)	C6H10N0O4	147.06573880940002	147.06573880940002	1
3_2_1_0_a	(J(F)(N(H(H(H)))))	C40H66O29N2	1	1057.393523	1059.409173	H(1)	C6H10N0O5	163.06065343150001	163.06065343150001	1
3_2_1_0_a	(J(F)(N(H(H(H)))))	C40H66O29N2	1	1057.393523	1059.409173	J(1)	C8H13N1O5	222.097762533	224.113412533	1
3_2_1_0_a	(J(F)(N(H(H(H)))))	C40H66O29N2	1	1057.393523	1059.409173	N(1)	C8H13N1O5	204.087202533	204.087202533	1
3_2_1_0_a	(J(F)(N(H(H(H)))))	C40H66O29N2	1	1057.393523	1059.409173	H(2)	C12H20N0O10	325.113476863	325.113476863	1
3_2_1_0_a	(J(F)(N(H(H(H)))))	C40H66O29N2	1	1057.393523	1059.409173	J(1)F(1)	C14H23N1O9	368.1556713424	370.1713213424	1
3_2_1_0_a	(J(F)(N(H(H(H)))))	C40H66O29N2	1	1057.393523	1059.409173	J(1)N(1)	C16H26N2O10	425.177135066	427.192785066	1
3_2_1_0_a	(J(F)(N(H(H(H)))))	C40H66O29N2	1	1057.393523	1059.409173	N(1)H(1)	C14H23N1O10	366.1400259645	366.1400259645	1
3_2_1_0_a	(J(F)(N(H(H(H)))))	C40H66O29N2	1	1057.393523	1059.409173	H(3)	C18H30N0O15	487.16630029450005	487.16630029450005	1
3_2_1_0_a	(J(F)(N(H(H(H)))))	C40H66O29N2	1	1057.393523	1059.409173	J(1)F(1)N(1)	C22H36N2O14	571.2350438754	573.2506938754	1
3_2_1_0_a	(J(F)(N(H(H(H)))))	C40H66O29N2	1	1057.393523	1059.409173	J(1)N(1)H(1)	C22H36N2O15	587.2299584975	589.2456084975	1
3_2_1_0_a	(J(F)(N(H(H(H)))))	C40H66O29N2	1	1057.393523	1059.409173	N(1)H(2)	C20H33N1O15	528.192849396	528.192849396	1
3_2_1_0_a	(J(F)(N(H(H(H)))))	C40H66O29N2	1	1057.393523	1059.409173	J(1)F(1)N(1)H(1)	C28H46N2O19	733.2878673069	735.3035173069	1
3_2_1_0_a	(J(F)(N(H(H(H)))))	C40H66O29N2	1	1057.393523	1059.409173	J(1)N(1)H(2)	C28H46N2O20	749.2827819290001	751.298431929	1
3_2_1_0_a	(J(F)(N(H(H(H)))))	C40H66O29N2	1	1057.393523	1059.409173	N(1)H(3)	C26H43N1O20	690.2456728275	690.2456728275	1
3_2_1_0_a	(J(F)(N(H(H(H)))))	C40H66O29N2	1	1057.393523	1059.409173	J(1)F(1)N(1)H(2)	C34H56N2O24	895.3406907384001	897.3563407383999	1
3_2_1_0_a	(J(F)(N(H(H(H)))))	C40H66O29N2	1	1057.393523	1059.409173	J(1)N(1)H(3)	C34H56N2O25	911.3356053605	913.3512553605001	1
2_3_1_0_a	(J(F)(N(H(H(N)))))	C42H69O29N3	1	1098.420072	1100.435722	F(1)	C6H10N0O4	147.06573880940002	147.06573880940002	1
2_3_1_0_a	(J(F)(N(H(H(N)))))	C42H69O29N3	1	1098.420072	1100.435722	H(1)	C6H10N0O5	163.06065343150001	163.06065343150001	1
2_3_1_0_a	(J(F)(N(H(H(N)))))	C42H69O29N3	1	1098.420072	1100.435722	J(1)	C8H13N1O5	222.097762533	224.113412533	1
2_3_1_0_a	(J(F)(N(H(H(N)))))	C42H69O29N3	1	1098.420072	1100.435722	N(1)	C8H13N1O5	204.087202533	204.087202533	1
2_3_1_0_a	(J(F)(N(H(H(N)))))	C42H69O29N3	1	1098.420072	1100.435722	H(2)	C12H20N0O10	325.113476863	325.113476863	1
2_3_1_0_a	(J(F)(N(H(H(N)))))	C42H69O29N3	1	1098.420072	1100.435722	H(1)N(1)	C14H23N1O10	366.1400259645	366.1400259645	1
2_3_1_0_a	(J(F)(N(H(H(N)))))	C42H69O29N3	1	1098.420072	1100.435722	J(1)F(1)	C14H23N1O9	368.1556713424	370.1713213424	1
2_3_1_0_a	(J(F)(N(H(H(N)))))	C42H69O29N3	1	1098.420072	1100.435722	J(1)N(1)	C16H26N2O10	425.177135066	427.192785066	1
2_3_1_0_a	(J(F)(N(H(H(N)))))	C42H69O29N3	1	1098.420072	1100.435722	N(1)H(1)	C14H23N1O10	366.1400259645	366.1400259645	1
2_3_1_0_a	(J(F)(N(H(H(N)))))	C42H69O29N3	1	1098.420072	1100.435722	H(2)N(1)	C20H33N1O15	528.192849396	528.192849396	1
2_3_1_0_a	(J(F)(N(H(H(N)))))	C42H69O29N3	1	1098.420072	1100.435722	J(1)F(1)N(1)	C22H36N2O14	571.2350438754	573.2506938754	1
2_3_1_0_a	(J(F)(N(H(H(N)))))	C42H69O29N3	1	1098.420072	1100.435722	J(1)N(1)H(1)	C22H36N2O15	587.2299584975	589.2456084975	1
2_3_1_0_a	(J(F)(N(H(H(N)))))	C42H69O29N3	1	1098.420072	1100.435722	N(1)H(2)	C20H33N1O15	528.192849396	528.192849396	1
